"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"106",  1.287836,103.782755,  1.288972,103.783848,  1.286274,103.781150,"OPERATIONAL","Sparkle","ChIJISBn6awb2jERRuKkH9QGSUk",7QQM+44 Singapore,6PH57QQM+44,"45 Science Park Road Singapore Science Park 2",3.9,NA
"107",  1.281274,103.809987,  1.282660,103.811220,  1.279962,103.808522,"OPERATIONAL","Depot Heights Shopping Centre","ChIJ99UkHtAb2jER-8eKrjNm_nQ",7RJ5+GX Singapore,6PH57RJ5+GX,"108 Depot Road, Singapore",3.6,NA
"108",  1.287523,103.803106,  1.289166,103.804691,  1.286468,103.801993,"OPERATIONAL","Atlantic Fusion","ChIJVVUFcssb2jERKbxAKVU784A",NA,NA,"1 Queensway",NA,NA
"109",  1.287834,103.803611,  1.289321,103.804905,  1.286623,103.802207,"OPERATIONAL","Circus Circus","ChIJ39nBb8sb2jERIjk5-GewGGI",7RQ3+4C Singapore,6PH57RQ3+4C,"1 Queensway",4.0,NA
"110",  1.287553,103.803468,  1.288960,103.805097,  1.286262,103.802399,"OPERATIONAL","Queensway Shopping Centre","ChIJpeuce8sb2jERad66-Hwmus8",7RQ3+29 Singapore,6PH57RQ3+29,"1 Queensway, Singapore",4.2,NA
"111",  1.286443,103.803663,  1.287992,103.804872,  1.285294,103.802174,"OPERATIONAL","NEWLINK SPORTS #02-34 / 36 ( BADMINTON RACQUET AND INDOOR COURT SHOES )","ChIJnW8KW-gb2jER1-hHWNDs5hc",7RP3+HF Singapore,6PH57RP3+HF,"1 Queensway",1.0,NA
"112",  1.288755,103.805098,  1.290046,103.806531,  1.287348,103.803833,"OPERATIONAL","Nightingale Thrift","ChIJ__9vsMwb2jERKgjdd859TtQ",NA,NA,"370 Alexandra Road",NA,NA
"113",  1.288667,103.805157,  1.290010,103.806560,  1.287312,103.803863,"OPERATIONAL","redhill美甲店","ChIJJf9isMwb2jERlNmgWEiYGcM",7RQ4+F3 Singapore,6PH57RQ4+F3,"370 Alexandra Road, Singapore",NA,NA
"114",  1.289552,103.790421,  1.290970,103.791830,  1.288272,103.789133,"OPERATIONAL","Cintech IV - Space for Rent","ChIJj4Iq5U0b2jERa3haKDQc7K8",7QQR+R5 Singapore,6PH57QQR+R5,"79 Science Park Drive, Singapore Science Park 1",NA,NA
"115",  1.287919,103.790253,  1.289282,103.791574,  1.286584,103.788876,"OPERATIONAL","The Oasis","ChIJuUXzGrMb2jERGj-8yzwcIuQ",7QQR+54 Singapore,6PH57QQR+54,"87&89 Science Park Drive",4.0,NA
"116",  1.291072,103.814830,  1.292431,103.816116,  1.289733,103.813418,"OPERATIONAL","SBAHAVV","ChIJI3E1YHAG2jERsf1aIMwCDMY",7RR7+CW Singapore,6PH57RR7+CW,"2 Leng Kee Road",NA,NA
"117",  1.275075,103.797642,  1.276557,103.799055,  1.273859,103.796357,"OPERATIONAL","Kwang Yau Heng Building","ChIJ4-a1Ur8b2jERJyE-yS8chBA",7QGX+23 Singapore,6PH57QGX+23,"30 Alexandra Lane",NA,NA
"118",  1.293488,103.784507,  1.294759,103.785575,  1.292061,103.782877,"OPERATIONAL","One@KentRidge","ChIJBfpIMFIa2jER0kicxx7NJvk",7QVM+9R Singapore,6PH57QVM+9R,"1 Lower Kent Ridge Road, Singapore",4.0,NA
"119",  1.273673,103.801381,  1.274979,103.802952,  1.272281,103.800254,"OPERATIONAL","亚力山大","ChIJgYciABMb2jERAW6WmDnHmmM",7RF2+FH Singapore,6PH57RF2+FH,"460 Alexandra Road, Singapore",NA,NA
"120",  1.273627,103.801767,  1.274957,103.803143,  1.272259,103.800445,"OPERATIONAL","Mapletree ARC Drop-Off Point","ChIJNVGRmcEb2jERUoQ_Ke5A864",7RF2+FP Singapore,6PH57RF2+FP,"460 Alexandra Road",NA,NA
"121",  1.283847,103.816821,  1.285298,103.818204,  1.282600,103.815506,"OPERATIONAL","Chow chai wang fu huan","ChIJAf8XTJsb2jERgmF1BsTGD8Q",7RM8+GP Singapore,6PH57RM8+GP,"Unnamed Road",NA,NA
"122",  1.282955,103.816867,  1.284513,103.818312,  1.281815,103.815614,"OPERATIONAL","КРОСОВКИ","ChIJQ8CRxNYb2jERBJduIwYz62o",7RM8+5P Singapore,6PH57RM8+5P,"3622-3623 Bukit Merah Central",NA,NA
"123",  1.273581,103.808689,  1.275096,103.809849,  1.272399,103.807151,"OPERATIONAL","Telok Blangah Mall","ChIJw656L8Mb2jERzs3namlmYGs",7RF5+CF Singapore,6PH57RF5+CF,"78B Telok Blangah Street 32",3.4,NA
"124",  1.283170,103.817739,  1.285135,103.819131,  1.281876,103.815035,"OPERATIONAL","Bukit Merah Town Centre","ChIJx-bd31gb2jEROE1s1B4VSpg",7RM9+73 Singapore,6PH57RM9+73,"166 Bukit Merah Central, Singapore",4.0,NA
"125",  1.290875,103.780790,  1.292288,103.782168,  1.289590,103.779470,"OPERATIONAL","MyVillage by Pick & GO","ChIJJ16RPzYb2jERz8rs0RDiO1k",7QRJ+98 Singapore,6PH57QRJ+98,"27 Prince George's Park, My Village @National University of Singapore",NA,NA
"126",  1.283032,103.780655,  1.284664,103.781940,  1.281967,103.779242,"OPERATIONAL","Westway","ChIJVVWVMakb2jER_0QNRNyQdxc",7QMJ+67 Singapore,6PH57QMJ+67,"27 West Coast Highway, Singapore",3.9,NA
"127",  1.283116,103.779319,  1.284534,103.780742,  1.281836,103.778044,"OPERATIONAL","虎豹别墅","ChIJN8UbFKkb2jER-mX0vNvpLKo",7QMH+6P Singapore,6PH57QMH+6P,"20 Harbour Drive",3.5,NA
"128",  1.286429,103.777478,  1.287721,103.778783,  1.285023,103.776085,"OPERATIONAL","Fruit Wholesale Pasir Panjang","ChIJyZR0zqsb2jERMHnnhwh5qOs",7QPG+HX Singapore,6PH57QPG+HX,"12 Pasir Panjang, Wholesale Centre, Singapore",4.0,NA
"129",  1.277387,103.819953,  1.278895,103.821250,  1.276197,103.818552,"OPERATIONAL","Crescent Mall","ChIJn2Tr9dgb2jERConEIWD2iUE",7RG9+XX Singapore,6PH57RG9+XX,"12 Telok Blangah Crescent, Singapore",4.4,NA
"130",  1.290680,103.825378,  1.292061,103.826730,  1.289363,103.824032,"OPERATIONAL","klocko mania","ChIJEVCVN2cZ2jERLOL7q1pi-9s",7RRG+75 Singapore,6PH57RRG+75,"3 Alexandra Road",NA,NA
"131",  1.286267,103.826816,  1.287516,103.828149,  1.284818,103.825451,"OPERATIONAL","DAISO Tiong Bahru Plaza","ChIJTVXMKAUZ2jERrss-0GswTOg",7RPG+GP Singapore,6PH57RPG+GP,"302 Tiong Bahru Road, #02-117",4.2,NA
"132",  1.279960,103.825913,  1.281240,103.827391,  1.278542,103.824693,"OPERATIONAL","老丁美食","ChIJVTqJynwZ2jERbOag2kk4hCA",7RHG+X9 Singapore,6PH57RHG+X9,"112 Jalan Bukit Merah, #01-02",NA,NA
"133",  1.279904,103.825930,  1.281193,103.827390,  1.278495,103.824692,"OPERATIONAL","光发美食","ChIJrwaYynwZ2jEROHpMImWenfs",7RHG+X9 Singapore,6PH57RHG+X9,"#01-04, 112 Jalan Bukit Merah",NA,NA
"134",  1.286284,103.827782,  1.287651,103.829079,  1.284953,103.826381,"OPERATIONAL","Tiong Bahru Plaza","ChIJe5qyMnkZ2jERYRN7QP_pCMQ",7RPH+G4 Singapore,6PH57RPH+G4,"302 Tiong Bahru Road, Singapore",4.1,NA
"135",  1.380040,103.764234,  1.381318,103.765621,  1.378595,103.762923,"OPERATIONAL","Bukit Panjang Plaza","ChIJe3kTN6MR2jERr5FbmFCuxPI",9QJ7+2M Singapore,6PH59QJ7+2M,"1 Jelebu Road",4.1,NA
"136",  1.410333,103.750727,  1.411661,103.751949,  1.408963,103.749251,"OPERATIONAL","Belanja seken","ChIJV7vZxKoT2jER65xGj-mmP5k",CQ62+47 Singapore,6PH5CQ62+47,"25A Sungei Kadut Street 1, Singapore",NA,NA
"137",  1.396689,103.753659,  1.398023,103.755062,  1.395325,103.752364,"OPERATIONAL","Wine shop","ChIJ2Wu0XP0R2jER5oGSSVOrtE8",9QW3+MF Singapore,6PH59QW3+MF,"381A Woodlands Road",NA,NA
"138",  1.385408,103.766360,  1.386611,103.767883,  1.383913,103.765185,"OPERATIONAL","Greenridge Shopping Centre","ChIJOVkoVXAR2jERO-rsgB51laI",9QP8+5G Singapore,6PH59QP8+5G,"524A Jelapang Road, Singapore",4.0,NA
"139",  1.421676,103.746728,  1.423024,103.748026,  1.420326,103.745329,"OPERATIONAL","Sungai kadut i dustrial park","ChIJ6ebFW2sS2jER-llgZ-i7xp8",CPCW+MM Singapore,6PH5CPCW+MM,"",5.0,NA
"140",  1.398005,103.746897,  1.399681,103.748534,  1.396983,103.745836,"OPERATIONAL","Yew Tee Square","ChIJp4CPcscR2jERIEqVvSuOfmc",9PXW+6Q Singapore,6PH59PXW+6Q,"624 Choa Chu Kang Street 62",NA,NA
"141",  1.397160,103.746835,  1.398674,103.748164,  1.395976,103.745466,"OPERATIONAL","Wen Furniture","ChIJf92ftfsR2jERxgYCnT-DCAE",9PWW+VP Singapore,6PH59PWW+VP,"21 Choa Chu Kang North 6, #01-08, YewTee Point, Singapore",NA,NA
"142",  1.397160,103.746835,  1.398401,103.747900,  1.395703,103.745202,"OPERATIONAL","YewTee Point","ChIJL3h_-fMR2jERaA6mW3u-wNU",9PWW+VP Singapore,6PH59PWW+VP,"21 Choa Chu Kang North 6",4.0,NA
"143",  1.385117,103.760221,  1.386540,103.761530,  1.383842,103.758832,"OPERATIONAL","Senja Centre","ChIJ___PUZYR2jERAE-X2dj0TRU",9QP6+23 Singapore,6PH59QP6+23,"628 Senja Road, Singapore",NA,NA
"144",  1.385117,103.744914,  1.386282,103.746451,  1.383584,103.743753,"OPERATIONAL","Lot One Mall","ChIJs5CBlukR2jER-uyFhQ2NFbU",9PPV+2X Singapore,6PH59PPV+2X,"21 Choa Chu Kang Avenue 4",4.0,NA
"145",  1.385228,103.745236,  1.386619,103.746731,  1.383921,103.744033,"OPERATIONAL","game kiosk","ChIJCRIkmukR2jERbYbywnJYLWM",9PPW+33 Singapore,6PH59PPW+33,"Singapore",1.0,NA
"146",  1.417002,103.657149,  1.418241,103.658283,  1.415543,103.655585,"CLOSED_TEMPORARILY","Super Heroes","ChIJo8o-1xUM2jERWf1UyxTNQls",CM84+RV Nusajaya, Johor, Malaysia,6PH5CM84+RV,"Nusajaya",4.8,TRUE
