,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,business_status,name,place_id,plus_code.compound_code,plus_code.global_code,vicinity
197,1.31334,103.861063,1.314651,103.86236,1.311953,103.859662,OPERATIONAL,ESSO LAVENDER,ChIJ6a4uvM4Z2jERg-fBwYtT9nA,8V76+8C Singapore,6PH58V76+8C,"216 Lavender Street, Singapore"
198,1.314462,103.857181,1.315667,103.8586,1.312969,103.855902,OPERATIONAL,Shell,ChIJiXNQd88Z2jERWnORf118bq8,8V74+QV Singapore,6PH58V74+QV,509 Serangoon Road
199,1.314504,103.857185,1.31576,103.858656,1.313062,103.855959,OPERATIONAL,Shell Select,ChIJ54lldM8Z2jERDvAk-w0GiD4,8V74+RV Singapore,6PH58V74+RV,"509 Serangoon Road, Singapore"
200,1.307431,103.895657,1.308806,103.89688,1.306108,103.894182,OPERATIONAL,Caltex Tanjong Katong,ChIJ2WrISmsY2jERc2MsD8hXsuo,8V4W+X7 Singapore,6PH58V4W+X7,265 Tanjong Katong Road
201,1.311011,103.88364,1.31227,103.88485,1.309572,103.882152,OPERATIONAL,ESSO GUILLEMARD,ChIJG1ihFDkY2jERZ6k5kiFTVLc,8V6M+CF Singapore,6PH58V6M+CF,225 Guillemard Road
202,1.309784,103.901022,1.311002,103.902376,1.308304,103.899678,OPERATIONAL,Shell,ChIJLQr-9RIY2jERQ8T-P4Ac6aA,8W52+WC Singapore,6PH58W52+WC,743 Dunman Road
203,1.310898,103.894443,1.312118,103.895672,1.30942,103.892974,OPERATIONAL,Shell,ChIJXYHoSRQY2jER54cJQjQ47-I,8V6V+9Q Singapore,6PH58V6V+9Q,191 Tanjong Katong Road
204,1.326317,103.896365,1.327493,103.897756,1.324795,103.895059,OPERATIONAL,Soon San Trading Services Pte Ltd,ChIJ3RlN8PUX2jERLuuZi5RcVZI,8VGW+GG Singapore,6PH58VGW+GG,"10 Ubi Crescent, Singapore"
205,1.321692,103.891663,1.323006,103.892836,1.320308,103.890138,OPERATIONAL,Shell,ChIJaXVoVB8Y2jERcAnghCcKtYU,8VCR+MM Singapore,6PH58VCR+MM,98 Paya Lebar Road
206,1.308317,103.894684,1.309698,103.896129,1.307,103.893431,OPERATIONAL,SPC Tanjong Katong,ChIJ9QsO2xQY2jERnhG2f-vV_XM,8V5V+8V Singapore,6PH58V5V+8V,"1 Swanage Road, Singapore"
207,1.312013,103.875564,1.313202,103.876931,1.310504,103.874233,OPERATIONAL,Shell,ChIJGUZDzzYY2jERlcLRhAcj2co,8V6G+R6 Singapore,6PH58V6G+R6,203 Geylang Road
208,1.302472,103.88432,1.303829,103.885701,1.301131,103.883003,OPERATIONAL,Esso Mountbatten,ChIJC2BFGUQY2jERyUzJOnt-Pog,8V2M+XP Singapore,6PH58V2M+XP,708 Mountbatten Road
209,1.31888,103.912884,1.320367,103.914288,1.317669,103.91159,OPERATIONAL,Shell,ChIJO0odogcY2jERPkQyM0NFhEw,8W97+H5 Singapore,6PH58W97+H5,460 Changi Road
210,1.308193,103.909796,1.309613,103.911072,1.306915,103.908374,OPERATIONAL,Shell,ChIJxffjRgsY2jERgyfQTntjxQw,8W55+7W Singapore,6PH58W55+7W,"338 East Coast Road, Singapore"
211,1.308128,103.907763,1.309657,103.909287,1.306959,103.906589,OPERATIONAL,ESSO EAST COAST,ChIJ7SNwugwY2jERe9CtNplAblw,8W55+74 Singapore,6PH58W55+74,"239 &, 255 East Coast Road"
212,1.316319,103.900159,1.317849,103.901533,1.315151,103.898835,OPERATIONAL,Caltex Changi,ChIJRUzOfBAY2jERWDSlL1y2soQ,8W82+G3 Singapore,6PH58W82+G3,78 Changi Road
213,1.325418,103.890825,1.326823,103.892125,1.324125,103.889427,OPERATIONAL,Caltex Paya Lebar,ChIJO0KIGyAY2jER7w_D3CD2kUE,8VGR+58 Singapore,6PH58VGR+58,128 Paya Lebar Road
214,1.314231,103.889084,1.315617,103.890426,1.312919,103.887728,OPERATIONAL,ESSO GEYLANG LOR. 38,ChIJZSTxwCQZ2jER4RJ80IzfW4A,8V7Q+MJ Singapore,6PH58V7Q+MJ,638 Geylang Road
215,1.31679,103.880823,1.318383,103.882181,1.315685,103.879483,OPERATIONAL,TriSonic Engine Lubricant ( Singapore HQ ),ChIJxw53sbIZ2jERQgALPEfxe0Q,8V8J+P8 Singapore,6PH58V8J+P8,"1 Sims Lane, 03-07"
216,1.311325,103.894513,1.312671,103.895795,1.309973,103.893097,OPERATIONAL,Esso Tanjong Katong B,ChIJUyYaEAcZ2jERVJsGRCUcmZ4,8V6V+GR Singapore,6PH58V6V+GR,189 Tanjong Katong Road
217,1.324317,103.880783,1.325646,103.882253,1.322948,103.879555,OPERATIONAL,ESSO ALJUNIED B,ChIJZfA2yScY2jERtDK_UiHn-0w,8VFJ+P8 Singapore,6PH58VFJ+P8,611 Aljunied Road
218,1.310673,103.883981,1.312087,103.885316,1.309389,103.882618,OPERATIONAL,Carwash,ChIJi8ARv2EZ2jERnR7l1--K6Vw,8V6M+7H Singapore,6PH58V6M+7H,132 Guillemard Road
219,1.310566,103.883808,1.312015,103.885147,1.309317,103.882449,OPERATIONAL,Shell,ChIJb2KWFzkY2jERjX27-Ga6Nyk,8V6M+6G Singapore,6PH58V6M+6G,132 Guillemard Road
220,1.31055,103.883724,1.311996,103.885052,1.309298,103.882354,OPERATIONAL,Fact Management Services,ChIJb2KWFzkY2jERbBVSMVhFsMs,8V6M+6F Singapore,6PH58V6M+6F,132 Guillemard Road
